Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Urban, Hunedoara, Anul 1998, Numar persoane, 4104
Total, Urban, Hunedoara, Anul 1999, Numar persoane, 3782
Total, Urban, Hunedoara, Anul 2000, Numar persoane, 3765
Total, Urban, Hunedoara, Anul 2001, Numar persoane, 3683
Total, Urban, Hunedoara, Anul 2002, Numar persoane, 3396
Total, Urban, Hunedoara, Anul 2003, Numar persoane, 3306
Total, Urban, Hunedoara, Anul 2004, Numar persoane, 3478
Total, Urban, Hunedoara, Anul 2005, Numar persoane, 3418
Total, Urban, Hunedoara, Anul 2006, Numar persoane, 3299
Total, Urban, Hunedoara, Anul 2007, Numar persoane, 3248
Total, Urban, Hunedoara, Anul 2008, Numar persoane, 3250
Total, Urban, Hunedoara, Anul 2009, Numar persoane, 3163
Total, Urban, Hunedoara, Anul 2010, Numar persoane, 2996
Total, Urban, Hunedoara, Anul 2011, Numar persoane, 2613
Total, Urban, Hunedoara, Anul 2012, Numar persoane, 2703
Total, Urban, Hunedoara, Anul 2013, Numar persoane, 2826
Total, Urban, Hunedoara, Anul 2014, Numar persoane, 2773
Total, Urban, Hunedoara, Anul 2015, Numar persoane, 2975
Total, Urban, Hunedoara, Anul 2016, Numar persoane, 3027
Total, Urban, Hunedoara, Anul 2017, Numar persoane, 3007
Total, Urban, Hunedoara, Anul 2018, Numar persoane, 2899
Total, Urban, Hunedoara, Anul 2019, Numar persoane, 2827
Total, Urban, Hunedoara, Anul 2020, Numar persoane, 2533
Total, Urban, Hunedoara, Anul 2021, Numar persoane, 2575
Total, Urban, Hunedoara, Anul 2022, Numar persoane, 2117
Total, Urban, Timis, Anul 1990, Numar persoane, 4575
Total, Urban, Timis, Anul 1991, Numar persoane, 4189
Total, Urban, Timis, Anul 1992, Numar persoane, 3789
Total, Urban, Timis, Anul 1993, Numar persoane, 3721
Total, Urban, Timis, Anul 1994, Numar persoane, 3624
Total, Urban, Timis, Anul 1995, Numar persoane, 3530
Total, Urban, Timis, Anul 1996, Numar persoane, 3465
Total, Urban, Timis, Anul 1997, Numar persoane, 3560
Total, Urban, Timis, Anul 1998, Numar persoane, 3518
Total, Urban, Timis, Anul 1999, Numar persoane, 3766
Total, Urban, Timis, Anul 2000, Numar persoane, 3320
Total, Urban, Timis, Anul 2001, Numar persoane, 3147
Total, Urban, Timis, Anul 2002, Numar persoane, 2971
Total, Urban, Timis, Anul 2003, Numar persoane, 3241
Total, Urban, Timis, Anul 2004, Numar persoane, 3687
Total, Urban, Timis, Anul 2005, Numar persoane, 3930
Total, Urban, Timis, Anul 2006, Numar persoane, 4024
Total, Urban, Timis, Anul 2007, Numar persoane, 3949
Total, Urban, Timis, Anul 2008, Numar persoane, 4406
Total, Urban, Timis, Anul 2009, Numar persoane, 4326
Total, Urban, Timis, Anul 2010, Numar persoane, 4327
Total, Urban, Timis, Anul 2011, Numar persoane, 3927
Total, Urban, Timis, Anul 2012, Numar persoane, 4010
Total, Urban, Timis, Anul 2013, Numar persoane, 4334
Total, Urban, Timis, Anul 2014, Numar persoane, 4271
Total, Urban, Timis, Anul 2015, Numar persoane, 4406
Total, Urban, Timis, Anul 2016, Numar persoane, 4436
Total, Urban, Timis, Anul 2017, Numar persoane, 4357
Total, Urban, Timis, Anul 2018, Numar persoane, 4372
Total, Urban, Timis, Anul 2019, Numar persoane, 4233
Total, Urban, Timis, Anul 2020, Numar persoane, 3875
Total, Urban, Timis, Anul 2021, Numar persoane, 3615
Total, Urban, Timis, Anul 2022, Numar persoane, 3093
Total, Rural, Bihor, Anul 1990, Numar persoane, 4673
Total, Rural, Bihor, Anul 1991, Numar persoane, 4272
Total, Rural, Bihor, Anul 1992, Numar persoane, 4193
Total, Rural, Bihor, Anul 1993, Numar persoane, 3938
Total, Rural, Bihor, Anul 1994, Numar persoane, 4019
Total, Rural, Bihor, Anul 1995, Numar persoane, 3963
Total, Rural, Bihor, Anul 1996, Numar persoane, 3859
Total, Rural, Bihor, Anul 1997, Numar persoane, 3826
Total, Rural, Bihor, Anul 1998, Numar persoane, 3989
Total, Rural, Bihor, Anul 1999, Numar persoane, 3924
Total, Rural, Bihor, Anul 2000, Numar persoane, 4004
Total, Rural, Bihor, Anul 2001, Numar persoane, 3652
Total, Rural, Bihor, Anul 2002, Numar persoane, 3446
Total, Rural, Bihor, Anul 2003, Numar persoane, 3577
Total, Rural, Bihor, Anul 2004, Numar persoane, 3348
Total, Rural, Bihor, Anul 2005, Numar persoane, 3530
Total, Rural, Bihor, Anul 2006, Numar persoane, 3463
Total, Rural, Bihor, Anul 2007, Numar persoane, 3471
Total, Rural, Bihor, Anul 2008, Numar persoane, 3335
Total, Rural, Bihor, Anul 2009, Numar persoane, 3479
Total, Rural, Bihor, Anul 2010, Numar persoane, 3312
Total, Rural, Bihor, Anul 2011, Numar persoane, 3095
Total, Rural, Bihor, Anul 2012, Numar persoane, 3307
Total, Rural, Bihor, Anul 2013, Numar persoane, 3373
Total, Rural, Bihor, Anul 2014, Numar persoane, 3132
Total, Rural, Bihor, Anul 2015, Numar persoane, 3108
Total, Rural, Bihor, Anul 2016, Numar persoane, 3176
Total, Rural, Bihor, Anul 2017, Numar persoane, 3351
Total, Rural, Bihor, Anul 2018, Numar persoane, 3365
Total, Rural, Bihor, Anul 2019, Numar persoane, 3393
Total, Rural, Bihor, Anul 2020, Numar persoane, 3204
Total, Rural, Bihor, Anul 2021, Numar persoane, 3351
Total, Rural, Bihor, Anul 2022, Numar persoane, 2972
Total, Rural, Bistrita-Nasaud, Anul 1990, Numar persoane, 3450
Total, Rural, Bistrita-Nasaud, Anul 1991, Numar persoane, 3196
Total, Rural, Bistrita-Nasaud, Anul 1992, Numar persoane, 3164
Total, Rural, Bistrita-Nasaud, Anul 1993, Numar persoane, 3007
Total, Rural, Bistrita-Nasaud, Anul 1994, Numar persoane, 3064
Total, Rural, Bistrita-Nasaud, Anul 1995, Numar persoane, 2891
Total, Rural, Bistrita-Nasaud, Anul 1996, Numar persoane, 2873
Total, Rural, Bistrita-Nasaud, Anul 1997, Numar persoane, 3032
Total, Rural, Bistrita-Nasaud, Anul 1998, Numar persoane, 2922
Total, Rural, Bistrita-Nasaud, Anul 1999, Numar persoane, 2889
Total, Rural, Bistrita-Nasaud, Anul 2000, Numar persoane, 2784
Total, Rural, Bistrita-Nasaud, Anul 2001, Numar persoane, 2696
Total, Rural, Bistrita-Nasaud, Anul 2002, Numar persoane, 2442
Total, Rural, Bistrita-Nasaud, Anul 2003, Numar persoane, 2546
Total, Rural, Bistrita-Nasaud, Anul 2004, Numar persoane, 2296
Total, Rural, Bistrita-Nasaud, Anul 2005, Numar persoane, 2232
Total, Rural, Bistrita-Nasaud, Anul 2006, Numar persoane, 2087
Total, Rural, Bistrita-Nasaud, Anul 2007, Numar persoane, 2061
Total, Rural, Bistrita-Nasaud, Anul 2008, Numar persoane, 2173
Total, Rural, Bistrita-Nasaud, Anul 2009, Numar persoane, 2266
Total, Rural, Bistrita-Nasaud, Anul 2010, Numar persoane, 2120
Total, Rural, Bistrita-Nasaud, Anul 2011, Numar persoane, 2018
Total, Rural, Bistrita-Nasaud, Anul 2012, Numar persoane, 2046
Total, Rural, Bistrita-Nasaud, Anul 2013, Numar persoane, 2304
Total, Rural, Bistrita-Nasaud, Anul 2014, Numar persoane, 2044
Total, Rural, Bistrita-Nasaud, Anul 2015, Numar persoane, 2123
Total, Rural, Bistrita-Nasaud, Anul 2016, Numar persoane, 2118
Total, Rural, Bistrita-Nasaud, Anul 2017, Numar persoane, 2170
Total, Rural, Bistrita-Nasaud, Anul 2018, Numar persoane, 2113
Total, Rural, Bistrita-Nasaud, Anul 2019, Numar persoane, 2186
Total, Rural, Bistrita-Nasaud, Anul 2020, Numar persoane, 2127
Total, Rural, Bistrita-Nasaud, Anul 2021, Numar persoane, 2014
Total, Rural, Bistrita-Nasaud, Anul 2022, Numar persoane, 1848
Total, Rural, Cluj, Anul 1990, Numar persoane, 3325
Total, Rural, Cluj, Anul 1991, Numar persoane, 2612
Total, Rural, Cluj, Anul 1992, Numar persoane, 2531
Total, Rural, Cluj, Anul 1993, Numar persoane, 2405
Total, Rural, Cluj, Anul 1994, Numar persoane, 2520
Total, Rural, Cluj, Anul 1995, Numar persoane, 2297
Total, Rural, Cluj, Anul 1996, Numar persoane, 2405
Total, Rural, Cluj, Anul 1997, Numar persoane, 2269
Total, Rural, Cluj, Anul 1998, Numar persoane, 2284
Total, Rural, Cluj, Anul 1999, Numar persoane, 2213
Total, Rural, Cluj, Anul 2000, Numar persoane, 2333
Total, Rural, Cluj, Anul 2001, Numar persoane, 2173
Total, Rural, Cluj, Anul 2002, Numar persoane, 1960
Total, Rural, Cluj, Anul 2003, Numar persoane, 2100
Total, Rural, Cluj, Anul 2004, Numar persoane, 2053
Total, Rural, Cluj, Anul 2005, Numar persoane, 2086
Total, Rural, Cluj, Anul 2006, Numar persoane, 2139
Total, Rural, Cluj, Anul 2007, Numar persoane, 2047
Total, Rural, Cluj, Anul 2008, Numar persoane, 2115
Total, Rural, Cluj, Anul 2009, Numar persoane, 2277
Total, Rural, Cluj, Anul 2010, Numar persoane, 2230
Total, Rural, Cluj, Anul 2011, Numar persoane, 2062
Total, Rural, Cluj, Anul 2012, Numar persoane, 2319
Total, Rural, Cluj, Anul 2013, Numar persoane, 2337
Total, Rural, Cluj, Anul 2014, Numar persoane, 2368
Total, Rural, Cluj, Anul 2015, Numar persoane, 2475
Total, Rural, Cluj, Anul 2016, Numar persoane, 2582
Total, Rural, Cluj, Anul 2017, Numar persoane, 2757
Total, Rural, Cluj, Anul 2018, Numar persoane, 2726
Total, Rural, Cluj, Anul 2019, Numar persoane, 2729
Total, Rural, Cluj, Anul 2020, Numar persoane, 2674
Total, Rural, Cluj, Anul 2021, Numar persoane, 2757
Total, Rural, Cluj, Anul 2022, Numar persoane, 2505
Total, Rural, Maramures, Anul 1990, Numar persoane, 4222
Total, Rural, Maramures, Anul 1991, Numar persoane, 3824
Total, Rural, Maramures, Anul 1992, Numar persoane, 3777
Total, Rural, Maramures, Anul 1993, Numar persoane, 3424
Total, Rural, Maramures, Anul 1994, Numar persoane, 3356
Total, Rural, Maramures, Anul 1995, Numar persoane, 3257
Total, Rural, Maramures, Anul 1996, Numar persoane, 3226
Total, Rural, Maramures, Anul 1997, Numar persoane, 3158
Total, Rural, Maramures, Anul 1998, Numar persoane, 3191
Total, Rural, Maramures, Anul 1999, Numar persoane, 3008
Total, Rural, Maramures, Anul 2000, Numar persoane, 3029
Total, Rural, Maramures, Anul 2001, Numar persoane, 2815
Total, Rural, Maramures, Anul 2002, Numar persoane, 2660
Total, Rural, Maramures, Anul 2003, Numar persoane, 2546
Total, Rural, Maramures, Anul 2004, Numar persoane, 2322
Total, Rural, Maramures, Anul 2005, Numar persoane, 2155
Total, Rural, Maramures, Anul 2006, Numar persoane, 2095
Total, Rural, Maramures, Anul 2007, Numar persoane, 2033
Total, Rural, Maramures, Anul 2008, Numar persoane, 2104
Total, Rural, Maramures, Anul 2009, Numar persoane, 2098
Total, Rural, Maramures, Anul 2010, Numar persoane, 1968
Total, Rural, Maramures, Anul 2011, Numar persoane, 1799
Total, Rural, Maramures, Anul 2012, Numar persoane, 1967
Total, Rural, Maramures, Anul 2013, Numar persoane, 2102
Total, Rural, Maramures, Anul 2014, Numar persoane, 2001
Total, Rural, Maramures, Anul 2015, Numar persoane, 2074
Total, Rural, Maramures, Anul 2016, Numar persoane, 2102
Total, Rural, Maramures, Anul 2017, Numar persoane, 2135
Total, Rural, Maramures, Anul 2018, Numar persoane, 2107
Total, Rural, Maramures, Anul 2019, Numar persoane, 2065
Total, Rural, Maramures, Anul 2020, Numar persoane, 1996
Total, Rural, Maramures, Anul 2021, Numar persoane, 2035
Total, Rural, Maramures, Anul 2022, Numar persoane, 1743
Total, Rural, Satu Mare, Anul 1990, Numar persoane, 3827
Total, Rural, Satu Mare, Anul 1991, Numar persoane, 3335
Total, Rural, Satu Mare, Anul 1992, Numar persoane, 3212
Total, Rural, Satu Mare, Anul 1993, Numar persoane, 3008
Total, Rural, Satu Mare, Anul 1994, Numar persoane, 2873
Total, Rural, Satu Mare, Anul 1995, Numar persoane, 2686
Total, Rural, Satu Mare, Anul 1996, Numar persoane, 2693
Total, Rural, Satu Mare, Anul 1997, Numar persoane, 2724
Total, Rural, Satu Mare, Anul 1998, Numar persoane, 2691
Total, Rural, Satu Mare, Anul 1999, Numar persoane, 2578
Total, Rural, Satu Mare, Anul 2000, Numar persoane, 2616
Total, Rural, Satu Mare, Anul 2001, Numar persoane, 2419
Total, Rural, Satu Mare, Anul 2002, Numar persoane, 2395
Total, Rural, Satu Mare, Anul 2003, Numar persoane, 2480
Total, Rural, Satu Mare, Anul 2004, Numar persoane, 2425
Total, Rural, Satu Mare, Anul 2005, Numar persoane, 2383
Total, Rural, Satu Mare, Anul 2006, Numar persoane, 2155
Total, Rural, Satu Mare, Anul 2007, Numar persoane, 2097
Total, Rural, Satu Mare, Anul 2008, Numar persoane, 2196
Total, Rural, Satu Mare, Anul 2009, Numar persoane, 2055
Total, Rural, Satu Mare, Anul 2010, Numar persoane, 1982
Total, Rural, Satu Mare, Anul 2011, Numar persoane, 1903
Total, Rural, Satu Mare, Anul 2012, Numar persoane, 1953
Total, Rural, Satu Mare, Anul 2013, Numar persoane, 2263
Total, Rural, Satu Mare, Anul 2014, Numar persoane, 2050
Total, Rural, Satu Mare, Anul 2015, Numar persoane, 2042
Total, Rural, Satu Mare, Anul 2016, Numar persoane, 2180
Total, Rural, Satu Mare, Anul 2017, Numar persoane, 2260
Total, Rural, Satu Mare, Anul 2018, Numar persoane, 2187
Total, Rural, Satu Mare, Anul 2019, Numar persoane, 2230
Total, Rural, Satu Mare, Anul 2020, Numar persoane, 2138
Total, Rural, Satu Mare, Anul 2021, Numar persoane, 1959
Total, Rural, Satu Mare, Anul 2022, Numar persoane, 1869
Total, Rural, Salaj, Anul 1990, Numar persoane, 2116
Total, Rural, Salaj, Anul 1991, Numar persoane, 1944
Total, Rural, Salaj, Anul 1992, Numar persoane, 1852
Total, Rural, Salaj, Anul 1993, Numar persoane, 1877
Total, Rural, Salaj, Anul 1994, Numar persoane, 1933
Total, Rural, Salaj, Anul 1995, Numar persoane, 1780
Total, Rural, Salaj, Anul 1996, Numar persoane, 1726
Total, Rural, Salaj, Anul 1997, Numar persoane, 1812
Total, Rural, Salaj, Anul 1998, Numar persoane, 1840
Total, Rural, Salaj, Anul 1999, Numar persoane, 1805
Total, Rural, Salaj, Anul 2000, Numar persoane, 1868
Total, Rural, Salaj, Anul 2001, Numar persoane, 1686
Total, Rural, Salaj, Anul 2002, Numar persoane, 1679
Total, Rural, Salaj, Anul 2003, Numar persoane, 1639
Total, Rural, Salaj, Anul 2004, Numar persoane, 1534
Total, Rural, Salaj, Anul 2005, Numar persoane, 1522
Total, Rural, Salaj, Anul 2006, Numar persoane, 1497
Total, Rural, Salaj, Anul 2007, Numar persoane, 1490
Total, Rural, Salaj, Anul 2008, Numar persoane, 1607
Total, Rural, Salaj, Anul 2009, Numar persoane, 1507
Total, Rural, Salaj, Anul 2010, Numar persoane, 1480
Total, Rural, Salaj, Anul 2011, Numar persoane, 1441
Total, Rural, Salaj, Anul 2012, Numar persoane, 1475
Total, Rural, Salaj, Anul 2013, Numar persoane, 1568
Total, Rural, Salaj, Anul 2014, Numar persoane, 1470
Total, Rural, Salaj, Anul 2015, Numar persoane, 1513
Total, Rural, Salaj, Anul 2016, Numar persoane, 1458
Total, Rural, Salaj, Anul 2017, Numar persoane, 1537
Total, Rural, Salaj, Anul 2018, Numar persoane, 1476
Total, Rural, Salaj, Anul 2019, Numar persoane, 1515
Total, Rural, Salaj, Anul 2020, Numar persoane, 1527
Total, Rural, Salaj, Anul 2021, Numar persoane, 1475
Total, Rural, Salaj, Anul 2022, Numar persoane, 1328
Total, Rural, Alba, Anul 1990, Numar persoane, 2455
Total, Rural, Alba, Anul 1991, Numar persoane, 2241
Total, Rural, Alba, Anul 1992, Numar persoane, 2211
Total, Rural, Alba, Anul 1993, Numar persoane, 2125
Total, Rural, Alba, Anul 1994, Numar persoane, 2028
Total, Rural, Alba, Anul 1995, Numar persoane, 1936
Total, Rural, Alba, Anul 1996, Numar persoane, 1876
Total, Rural, Alba, Anul 1997, Numar persoane, 1927
Total, Rural, Alba, Anul 1998, Numar persoane, 1953
Total, Rural, Alba, Anul 1999, Numar persoane, 1899
Total, Rural, Alba, Anul 2000, Numar persoane, 1852
Total, Rural, Alba, Anul 2001, Numar persoane, 1648
Total, Rural, Alba, Anul 2002, Numar persoane, 1608
Total, Rural, Alba, Anul 2003, Numar persoane, 1509
Total, Rural, Alba, Anul 2004, Numar persoane, 1514
Total, Rural, Alba, Anul 2005, Numar persoane, 1604
Total, Rural, Alba, Anul 2006, Numar persoane, 1428
Total, Rural, Alba, Anul 2007, Numar persoane, 1376
Total, Rural, Alba, Anul 2008, Numar persoane, 1386
Total, Rural, Alba, Anul 2009, Numar persoane, 1357
Total, Rural, Alba, Anul 2010, Numar persoane, 1264
Total, Rural, Alba, Anul 2011, Numar persoane, 1302
Total, Rural, Alba, Anul 2012, Numar persoane, 1299
Total, Rural, Alba, Anul 2013, Numar persoane, 1309
Total, Rural, Alba, Anul 2014, Numar persoane, 1286
Total, Rural, Alba, Anul 2015, Numar persoane, 1264
Total, Rural, Alba, Anul 2016, Numar persoane, 1418
Total, Rural, Alba, Anul 2017, Numar persoane, 1332
Total, Rural, Alba, Anul 2018, Numar persoane, 1280
Total, Rural, Alba, Anul 2019, Numar persoane, 1320
Total, Rural, Alba, Anul 2020, Numar persoane, 1204
Total, Rural, Alba, Anul 2021, Numar persoane, 1227
Total, Rural, Alba, Anul 2022, Numar persoane, 1092
Total, Rural, Brasov, Anul 1990, Numar persoane, 2310
Total, Rural, Brasov, Anul 1991, Numar persoane, 2041
Total, Rural, Brasov, Anul 1992, Numar persoane, 1831
Total, Rural, Brasov, Anul 1993, Numar persoane, 1843
Total, Rural, Brasov, Anul 1994, Numar persoane, 1843
Total, Rural, Brasov, Anul 1995, Numar persoane, 1835
Total, Rural, Brasov, Anul 1996, Numar persoane, 1806
Total, Rural, Brasov, Anul 1997, Numar persoane, 1983
Total, Rural, Brasov, Anul 1998, Numar persoane, 1926
Total, Rural, Brasov, Anul 1999, Numar persoane, 1953
Total, Rural, Brasov, Anul 2000, Numar persoane, 2010
Total, Rural, Brasov, Anul 2001, Numar persoane, 2041
Total, Rural, Brasov, Anul 2002, Numar persoane, 1877
Total, Rural, Brasov, Anul 2003, Numar persoane, 2053
Total, Rural, Brasov, Anul 2004, Numar persoane, 2006
Total, Rural, Brasov, Anul 2005, Numar persoane, 1921
Total, Rural, Brasov, Anul 2006, Numar persoane, 1938
Total, Rural, Brasov, Anul 2007, Numar persoane, 1922
Total, Rural, Brasov, Anul 2008, Numar persoane, 2148
Total, Rural, Brasov, Anul 2009, Numar persoane, 2207
Total, Rural, Brasov, Anul 2010, Numar persoane, 2145
Total, Rural, Brasov, Anul 2011, Numar persoane, 2085
Total, Rural, Brasov, Anul 2012, Numar persoane, 2147
Total, Rural, Brasov, Anul 2013, Numar persoane, 2233
Total, Rural, Brasov, Anul 2014, Numar persoane, 2234
Total, Rural, Brasov, Anul 2015, Numar persoane, 2195
Total, Rural, Brasov, Anul 2016, Numar persoane, 2324
Total, Rural, Brasov, Anul 2017, Numar persoane, 2345
Total, Rural, Brasov, Anul 2018, Numar persoane, 2406
Total, Rural, Brasov, Anul 2019, Numar persoane, 2493
Total, Rural, Brasov, Anul 2020, Numar persoane, 2494
Total, Rural, Brasov, Anul 2021, Numar persoane, 2481
Total, Rural, Brasov, Anul 2022, Numar persoane, 2183
Total, Rural, Covasna, Anul 1990, Numar persoane, 1681
Total, Rural, Covasna, Anul 1991, Numar persoane, 1328
Total, Rural, Covasna, Anul 1992, Numar persoane, 1333
Total, Rural, Covasna, Anul 1993, Numar persoane, 1274
Total, Rural, Covasna, Anul 1994, Numar persoane, 1234
Total, Rural, Covasna, Anul 1995, Numar persoane, 1287
Total, Rural, Covasna, Anul 1996, Numar persoane, 1367
Total, Rural, Covasna, Anul 1997, Numar persoane, 1443
Total, Rural, Covasna, Anul 1998, Numar persoane, 1383
Total, Rural, Covasna, Anul 1999, Numar persoane, 1430
Total, Rural, Covasna, Anul 2000, Numar persoane, 1462
Total, Rural, Covasna, Anul 2001, Numar persoane, 1451
Total, Rural, Covasna, Anul 2002, Numar persoane, 1384
Total, Rural, Covasna, Anul 2003, Numar persoane, 1382
Total, Rural, Covasna, Anul 2004, Numar persoane, 1420
Total, Rural, Covasna, Anul 2005, Numar persoane, 1447
Total, Rural, Covasna, Anul 2006, Numar persoane, 1442
Total, Rural, Covasna, Anul 2007, Numar persoane, 1307
Total, Rural, Covasna, Anul 2008, Numar persoane, 1341
Total, Rural, Covasna, Anul 2009, Numar persoane, 1293
Total, Rural, Covasna, Anul 2010, Numar persoane, 1352
Total, Rural, Covasna, Anul 2011, Numar persoane, 1320
Total, Rural, Covasna, Anul 2012, Numar persoane, 1393
Total, Rural, Covasna, Anul 2013, Numar persoane, 1386
Total, Rural, Covasna, Anul 2014, Numar persoane, 1306
Total, Rural, Covasna, Anul 2015, Numar persoane, 1260
Total, Rural, Covasna, Anul 2016, Numar persoane, 1341
Total, Rural, Covasna, Anul 2017, Numar persoane, 1317
Total, Rural, Covasna, Anul 2018, Numar persoane, 1292
Total, Rural, Covasna, Anul 2019, Numar persoane, 1311
Total, Rural, Covasna, Anul 2020, Numar persoane, 1372
Total, Rural, Covasna, Anul 2021, Numar persoane, 1279
Total, Rural, Covasna, Anul 2022, Numar persoane, 1156
Total, Rural, Harghita, Anul 1990, Numar persoane, 2769
Total, Rural, Harghita, Anul 1991, Numar persoane, 2514
Total, Rural, Harghita, Anul 1992, Numar persoane, 2433
Total, Rural, Harghita, Anul 1993, Numar persoane, 2151
Total, Rural, Harghita, Anul 1994, Numar persoane, 2259
Total, Rural, Harghita, Anul 1995, Numar persoane, 2231
Total, Rural, Harghita, Anul 1996, Numar persoane, 2219
Total, Rural, Harghita, Anul 1997, Numar persoane, 2316
Total, Rural, Harghita, Anul 1998, Numar persoane, 2319
Total, Rural, Harghita, Anul 1999, Numar persoane, 2191
Total, Rural, Harghita, Anul 2000, Numar persoane, 2232
Total, Rural, Harghita, Anul 2001, Numar persoane, 2093
Total, Rural, Harghita, Anul 2002, Numar persoane, 2068
Total, Rural, Harghita, Anul 2003, Numar persoane, 2030
Total, Rural, Harghita, Anul 2004, Numar persoane, 2090
Total, Rural, Harghita, Anul 2005, Numar persoane, 2133
Total, Rural, Harghita, Anul 2006, Numar persoane, 2191
Total, Rural, Harghita, Anul 2007, Numar persoane, 2070
Total, Rural, Harghita, Anul 2008, Numar persoane, 2148
Total, Rural, Harghita, Anul 2009, Numar persoane, 2124
Total, Rural, Harghita, Anul 2010, Numar persoane, 1999
Total, Rural, Harghita, Anul 2011, Numar persoane, 1986
Total, Rural, Harghita, Anul 2012, Numar persoane, 2000
Total, Rural, Harghita, Anul 2013, Numar persoane, 2008
Total, Rural, Harghita, Anul 2014, Numar persoane, 2025
Total, Rural, Harghita, Anul 2015, Numar persoane, 1929
Total, Rural, Harghita, Anul 2016, Numar persoane, 1958
Total, Rural, Harghita, Anul 2017, Numar persoane, 1965
Total, Rural, Harghita, Anul 2018, Numar persoane, 2055
Total, Rural, Harghita, Anul 2019, Numar persoane, 2013
Total, Rural, Harghita, Anul 2020, Numar persoane, 1886
Total, Rural, Harghita, Anul 2021, Numar persoane, 1906
Total, Rural, Harghita, Anul 2022, Numar persoane, 1822
Total, Rural, Mures, Anul 1990, Numar persoane, 4593
Total, Rural, Mures, Anul 1991, Numar persoane, 4042
Total, Rural, Mures, Anul 1992, Numar persoane, 3734
Total, Rural, Mures, Anul 1993, Numar persoane, 3487
Total, Rural, Mures, Anul 1994, Numar persoane, 3780
Total, Rural, Mures, Anul 1995, Numar persoane, 3496
Total, Rural, Mures, Anul 1996, Numar persoane, 3475
Total, Rural, Mures, Anul 1997, Numar persoane, 3776
Total, Rural, Mures, Anul 1998, Numar persoane, 3792
Total, Rural, Mures, Anul 1999, Numar persoane, 3646
Total, Rural, Mures, Anul 2000, Numar persoane, 3920
Total, Rural, Mures, Anul 2001, Numar persoane, 3670
Total, Rural, Mures, Anul 2002, Numar persoane, 3543
Total, Rural, Mures, Anul 2003, Numar persoane, 3541
Total, Rural, Mures, Anul 2004, Numar persoane, 3304
Total, Rural, Mures, Anul 2005, Numar persoane, 3284
Total, Rural, Mures, Anul 2006, Numar persoane, 3091
Total, Rural, Mures, Anul 2007, Numar persoane, 3215
Total, Rural, Mures, Anul 2008, Numar persoane, 3439
Total, Rural, Mures, Anul 2009, Numar persoane, 3324
Total, Rural, Mures, Anul 2010, Numar persoane, 3116
Total, Rural, Mures, Anul 2011, Numar persoane, 3057
Total, Rural, Mures, Anul 2012, Numar persoane, 3090
Total, Rural, Mures, Anul 2013, Numar persoane, 3186
Total, Rural, Mures, Anul 2014, Numar persoane, 3136
Total, Rural, Mures, Anul 2015, Numar persoane, 3247
Total, Rural, Mures, Anul 2016, Numar persoane, 3228
Total, Rural, Mures, Anul 2017, Numar persoane, 3267
Total, Rural, Mures, Anul 2018, Numar persoane, 3147
Total, Rural, Mures, Anul 2019, Numar persoane, 3161
Total, Rural, Mures, Anul 2020, Numar persoane, 3227
Total, Rural, Mures, Anul 2021, Numar persoane, 3118
Total, Rural, Mures, Anul 2022, Numar persoane, 2849
Total, Rural, Sibiu, Anul 1990, Numar persoane, 2510
Total, Rural, Sibiu, Anul 1991, Numar persoane, 2119
Total, Rural, Sibiu, Anul 1992, Numar persoane, 2113
Total, Rural, Sibiu, Anul 1993, Numar persoane, 1955
Total, Rural, Sibiu, Anul 1994, Numar persoane, 1953
Total, Rural, Sibiu, Anul 1995, Numar persoane, 1910
Total, Rural, Sibiu, Anul 1996, Numar persoane, 1776
Total, Rural, Sibiu, Anul 1997, Numar persoane, 1859
Total, Rural, Sibiu, Anul 1998, Numar persoane, 1944
Total, Rural, Sibiu, Anul 1999, Numar persoane, 1887
Total, Rural, Sibiu, Anul 2000, Numar persoane, 1921
Total, Rural, Sibiu, Anul 2001, Numar persoane, 1906
Total, Rural, Sibiu, Anul 2002, Numar persoane, 1812
Total, Rural, Sibiu, Anul 2003, Numar persoane, 1933
Total, Rural, Sibiu, Anul 2004, Numar persoane, 1853
Total, Rural, Sibiu, Anul 2005, Numar persoane, 1780
Total, Rural, Sibiu, Anul 2006, Numar persoane, 1726
Total, Rural, Sibiu, Anul 2007, Numar persoane, 1766
Total, Rural, Sibiu, Anul 2008, Numar persoane, 1766
Total, Rural, Sibiu, Anul 2009, Numar persoane, 1843
Total, Rural, Sibiu, Anul 2010, Numar persoane, 1669
Total, Rural, Sibiu, Anul 2011, Numar persoane, 1612
Total, Rural, Sibiu, Anul 2012, Numar persoane, 1747
Total, Rural, Sibiu, Anul 2013, Numar persoane, 1762
Total, Rural, Sibiu, Anul 2014, Numar persoane, 1773
Total, Rural, Sibiu, Anul 2015, Numar persoane, 1786
Total, Rural, Sibiu, Anul 2016, Numar persoane, 1826
Total, Rural, Sibiu, Anul 2017, Numar persoane, 1952
Total, Rural, Sibiu, Anul 2018, Numar persoane, 1840
Total, Rural, Sibiu, Anul 2019, Numar persoane, 1861
Total, Rural, Sibiu, Anul 2020, Numar persoane, 1729
Total, Rural, Sibiu, Anul 2021, Numar persoane, 1754
Total, Rural, Sibiu, Anul 2022, Numar persoane, 1588
Total, Rural, Bacau, Anul 1990, Numar persoane, 7001
